,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.96, 14.4  /  15  /  7.6 ,49.9%,12.4%,199,0.1%,"20,879",Sentinel
1,2,Jett,1.07, 17.4  /  16.2  /  3.9 ,48.7%,9.9%,241,0.1%,"16,721",Duelist
2,3,Raze,1.06, 17.2  /  16.3  /  5 ,49.4%,9.8%,246,0.1%,"16,559",Duelist
3,4,Reyna,1.13, 17.9  /  15.8  /  4.6 ,50.8%,9.2%,247,0.1%,"15,450",Duelist
4,5,Omen,1.0, 15.4  /  15.3  /  7.5 ,48.8%,9.1%,210,0.1%,"15,320",Controller
5,6,Gekko,0.96, 14.6  /  15.2  /  5 ,49.3%,6.4%,198,0.1%,"10,757",Initiator
6,7,Killjoy,1.02, 14.8  /  14.5  /  3.9 ,49.5%,6.2%,206,0.2%,"10,405",Sentinel
7,8,Cypher,1.02, 15  /  14.7  /  4.9 ,49.5%,5.5%,204,0.1%,"9,241",Sentinel
8,9,Skye,0.96, 14.7  /  15.3  /  7.8 ,48.6%,4.8%,204,0.1%,"8,087",Initiator
9,10,Brimstone,0.97, 14.6  /  15  /  9 ,50.8%,4.7%,208,0.1%,"7,947",Controller
10,11,Astra,1.04, 15.4  /  14.9  /  6.9 ,48.9%,3.0%,209,0.1%,"5,122",Controller
11,12,KAY/O,0.94, 14.5  /  15.5  /  8.8 ,46.0%,3.0%,207,0.1%,"5,100",Initiator
12,13,Fade,0.96, 14.6  /  15.2  /  6.3 ,50.4%,2.9%,202,0.1%,"4,829",Initiator
13,14,Breach,0.94, 14.5  /  15.4  /  7.1 ,48.2%,2.6%,202,0.1%,"4,446",Initiator
14,15,Phoenix,1.11, 17.3  /  15.5  /  4.9 ,49.9%,2.3%,242,0.1%,"3,916",Duelist
15,16,Viper,1.01, 14.9  /  14.8  /  5.7 ,49.2%,2.0%,207,0.2%,"3,366",Controller
16,17,Chamber,1.05, 16.3  /  15.5  /  3 ,45.0%,1.7%,219,0.1%,"2,915",Sentinel
17,18,Sova,0.98, 14.7  /  15  /  5.5 ,49.3%,1.7%,206,0.1%,"2,913",Initiator
18,19,Yoru,1.03, 16.1  /  15.6  /  4.5 ,46.4%,1.0%,223,0.1%,"1,752",Duelist
19,20,Neon,0.99, 16.4  /  16.5  /  4.4 ,48.8%,0.9%,229,0.1%,"1,478",Duelist
20,21,Harbor,0.9, 14.1  /  15.7  /  6.4 ,44.4%,0.6%,194,0.1%,"1,013",Controller
