,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.5  /  16.2  /  3.7 ,49.2%,10.9%,238,0.1%,"13,690"
1,2,Reyna,1.15, 18  /  15.7  /  4.4 ,50.7%,9.5%,245,0.1%,"12,018"
2,3,Raze,1.06, 17  /  15.9  /  4.9 ,49.4%,8.5%,244,0.1%,"10,643"
3,4,Omen,0.99, 15  /  15.2  /  7.4 ,50.1%,8.3%,205,0.1%,"10,475"
4,5,Killjoy,1.03, 14.8  /  14.3  /  3.7 ,50.2%,8.2%,204,0.2%,"10,305"
5,6,Gekko,0.98, 14.6  /  15  /  5.3 ,52.1%,6.8%,198,0.1%,"8,581"
6,7,Breach,0.94, 14.5  /  15.3  /  7.3 ,48.1%,6.4%,200,0.1%,"8,003"
7,8,Sage,0.95, 14.2  /  15  /  7.1 ,50.5%,5.0%,196,0.1%,"6,297"
8,9,Skye,0.95, 14.6  /  15.4  /  8 ,49.0%,4.5%,200,0.1%,"5,617"
9,10,Chamber,1.11, 16.7  /  15.1  /  2.9 ,50.3%,4.2%,223,0.1%,"5,344"
10,11,Brimstone,0.98, 14.8  /  15  /  8.8 ,50.2%,3.8%,208,0.1%,"4,747"
11,12,Cypher,1.02, 15.2  /  14.8  /  4.6 ,47.5%,3.7%,204,0.2%,"4,682"
12,13,Fade,0.96, 14.7  /  15.3  /  6.6 ,48.7%,3.5%,199,0.1%,"4,443"
13,14,Harbor,0.94, 14.3  /  15.2  /  6.1 ,48.8%,3.2%,195,0.1%,"4,002"
14,15,Astra,1.02, 15.2  /  14.8  /  6.5 ,48.8%,2.9%,206,0.2%,"3,601"
15,16,Phoenix,1.1, 17.3  /  15.7  /  4.8 ,49.3%,2.6%,241,0.1%,"3,289"
16,17,KAY/O,0.93, 14.5  /  15.7  /  9.4 ,43.4%,2.5%,206,0.1%,"3,167"
17,18,Sova,0.99, 14.8  /  15  /  5.6 ,43.4%,1.6%,207,0.1%,"2,028"
18,19,Neon,0.99, 16.2  /  16.4  /  4.3 ,46.3%,1.5%,228,0.1%,"1,861"
19,20,Viper,1.05, 15.3  /  14.6  /  5.8 ,50.5%,1.4%,212,0.2%,"1,823"
20,21,Yoru,1, 16.1  /  16  /  4.4 ,46.3%,1.0%,219,0.1%,"1,260"
