,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.9, 13.3  /  14.8  /  7 ,50.6%,12.6%,186,0.1%,"34,293"
1,2,Reyna,1.14, 17.8  /  15.6  /  4.4 ,50.1%,11.6%,251,0.1%,"31,572"
2,3,Jett,1.1, 17.4  /  15.9  /  4 ,50.1%,9.8%,246,0.1%,"26,583"
3,4,Viper,0.98, 14.5  /  14.7  /  5.7 ,50.2%,9.4%,203,0.1%,"25,515"
4,5,Sova,0.97, 14.3  /  14.7  /  5.3 ,49.9%,7.1%,202,0.1%,"19,131"
5,6,Killjoy,0.98, 14  /  14.3  /  3.9 ,49.9%,6.7%,199,0.2%,"18,171"
6,7,Raze,1.03, 16.3  /  15.8  /  4.7 ,49.3%,5.9%,237,0.1%,"16,070"
7,8,Omen,0.98, 15.2  /  15.5  /  5.7 ,47.2%,5.3%,212,0.1%,"14,449"
8,9,Gekko,0.95, 14.1  /  14.9  /  4.7 ,50.4%,5.3%,195,0.1%,"14,375"
9,10,KAY/O,0.91, 14.1  /  15.5  /  8.6 ,46.1%,3.5%,203,0.1%,"9,530"
10,11,Brimstone,0.95, 14.3  /  15.1  /  7 ,47.6%,3.0%,204,0.1%,"8,264"
11,12,Fade,0.93, 14.2  /  15.3  /  6.3 ,48.5%,2.9%,199,0.1%,"7,979"
12,13,Chamber,1.08, 16  /  14.7  /  3.2 ,48.1%,2.8%,219,0.1%,"7,492"
13,14,Phoenix,1.08, 16.6  /  15.4  /  4.5 ,50.2%,2.7%,235,0.1%,"7,383"
14,15,Skye,0.92, 13.8  /  15  /  7.2 ,48.4%,2.7%,196,0.1%,"7,356"
15,16,Neon,1, 16.4  /  16.4  /  4.2 ,47.3%,2.0%,231,0.1%,"5,320"
16,17,Yoru,0.99, 15.5  /  15.7  /  4.2 ,46.4%,1.7%,216,0.1%,"4,494"
17,18,Cypher,0.96, 14.2  /  14.8  /  4.6 ,46.5%,1.6%,195,0.1%,"4,371"
18,19,Harbor,0.89, 13.6  /  15.3  /  5.9 ,48.1%,1.3%,190,0.1%,"3,611"
19,20,Breach,0.92, 14.4  /  15.6  /  6 ,48.9%,1.3%,203,0.1%,"3,523"
20,21,Astra,1.02, 15  /  14.7  /  5.1 ,46.8%,0.7%,208,0.1%,"1,772"
