,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.8, 11.3  /  14.3  /  6.6 ,50.2%,13.8%,167,0.1%,"17,374"
1,2,Reyna,1.03, 15.3  /  14.8  /  4.8 ,48.8%,10.9%,224,0.1%,"13,677"
2,3,Raze,0.93, 13.9  /  15  /  5 ,49.8%,6.7%,211,0.1%,"8,483"
3,4,Jett,0.94, 14.2  /  15.1  /  4 ,47.8%,5.9%,208,0.1%,"7,422"
4,5,Killjoy,0.91, 12.5  /  13.7  /  4.4 ,51.3%,5.7%,187,0.2%,"7,164"
5,6,Omen,0.88, 13  /  14.9  /  5.2 ,47.9%,5.7%,189,0.1%,"7,152"
6,7,Fade,0.81, 12  /  14.7  /  6.2 ,48.9%,5.4%,178,0.1%,"6,848"
7,8,Viper,0.86, 12.4  /  14.4  /  5.4 ,47.9%,4.9%,184,0.1%,"6,111"
8,9,Phoenix,0.95, 14.1  /  14.8  /  4.6 ,47.9%,4.4%,207,0.1%,"5,574"
9,10,Yoru,0.9, 13.4  /  15  /  4.3 ,46.9%,4.4%,196,0.1%,"5,517"
10,11,Sova,0.85, 12.3  /  14.5  /  5.2 ,48.1%,4.1%,184,0.1%,"5,105"
11,12,Neon,0.89, 13.8  /  15.6  /  4.2 ,46.9%,4.0%,203,0.1%,"5,055"
12,13,Brimstone,0.87, 12.7  /  14.5  /  6.5 ,50.2%,3.8%,189,0.1%,"4,803"
13,14,Skye,0.82, 11.9  /  14.5  /  7.4 ,49.4%,3.8%,177,0.1%,"4,777"
14,15,Gekko,0.88, 12.7  /  14.4  /  5 ,49.9%,3.6%,185,0.1%,"4,472"
15,16,KAY/O,0.81, 12  /  14.9  /  7.6 ,46.0%,3.5%,182,0.1%,"4,343"
16,17,Cypher,0.9, 12.6  /  14.1  /  5 ,48.4%,3.0%,180,0.2%,"3,816"
17,18,Chamber,0.96, 13.8  /  14.3  /  3.6 ,47.8%,2.5%,197,0.1%,"3,118"
18,19,Harbor,0.79, 11.8  /  14.9  /  5.5 ,48.7%,1.6%,172,0.1%,"2,075"
19,20,Breach,0.86, 12.7  /  14.7  /  5.7 ,48.2%,1.4%,188,0.1%,"1,734"
20,21,Astra,0.95, 13.1  /  13.7  /  5.1 ,47.7%,1.0%,191,0.1%,"1,210"
