,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.96, 14.4  /  15  /  7.6 ,51.1%,12.4%,200,0.1%,"22,657",Sentinel
1,2,Raze,1.07, 17.2  /  16  /  5 ,49.9%,9.8%,247,0.1%,"17,910",Duelist
2,3,Reyna,1.14, 17.9  /  15.7  /  4.6 ,49.7%,9.7%,248,0.1%,"17,734",Duelist
3,4,Jett,1.08, 17.3  /  16.1  /  3.9 ,48.2%,9.4%,240,0.1%,"17,100",Duelist
4,5,Omen,1.01, 15.3  /  15.2  /  7.3 ,48.9%,8.9%,211,0.1%,"16,338",Controller
5,6,Killjoy,1.03, 14.8  /  14.5  /  4 ,50.4%,6.2%,207,0.2%,"11,245",Sentinel
6,7,Gekko,0.97, 14.6  /  15.1  /  5 ,50.2%,6.0%,199,0.1%,"11,044",Initiator
7,8,Cypher,1.02, 14.9  /  14.6  /  4.9 ,48.9%,5.3%,203,0.2%,"9,705",Sentinel
8,9,Brimstone,0.98, 14.7  /  15  /  8.9 ,51.1%,4.9%,210,0.1%,"8,874",Controller
9,10,Skye,0.96, 14.5  /  15.1  /  7.7 ,50.4%,4.7%,202,0.1%,"8,629",Initiator
10,11,KAY/O,0.93, 14.4  /  15.6  /  8.8 ,45.6%,3.1%,206,0.1%,"5,666",Initiator
11,12,Fade,0.97, 14.8  /  15.3  /  6.2 ,48.0%,2.9%,203,0.1%,"5,388",Initiator
12,13,Astra,1.06, 15.5  /  14.6  /  6.6 ,50.6%,2.9%,212,0.1%,"5,319",Controller
13,14,Breach,0.95, 14.7  /  15.4  /  6.9 ,48.0%,2.6%,205,0.1%,"4,734",Initiator
14,15,Phoenix,1.13, 17.6  /  15.6  /  4.8 ,50.3%,2.5%,245,0.1%,"4,620",Duelist
15,16,Viper,0.99, 14.6  /  14.8  /  5.8 ,50.2%,2.2%,204,0.2%,"4,088",Controller
16,17,Sova,0.99, 14.8  /  14.9  /  5.4 ,48.3%,1.9%,208,0.1%,"3,491",Initiator
17,18,Chamber,1.07, 16.1  /  15.1  /  3 ,45.5%,1.8%,220,0.1%,"3,321",Sentinel
18,19,Yoru,1.03, 16.3  /  15.7  /  4.4 ,47.7%,1.0%,224,0.1%,"1,863",Duelist
19,20,Neon,0.99, 16.1  /  16.3  /  4.3 ,47.8%,1.0%,228,0.1%,"1,811",Duelist
20,21,Harbor,0.94, 14.3  /  15.3  /  5.8 ,44.4%,0.7%,196,0.1%,"1,278",Controller
