,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.73, 10.1  /  13.8  /  6.1 ,51.8%,13.7%,153,0.2%,"1,893"
1,2,Reyna,0.97, 14  /  14.5  /  4.4 ,49.9%,10.8%,208,0.1%,"1,493"
2,3,Raze,0.86, 12.8  /  14.8  /  4.8 ,48.8%,8.4%,198,0.1%,"1,163"
3,4,Jett,0.85, 12.3  /  14.5  /  3.6 ,49.3%,6.5%,182,0.1%,898
4,5,Yoru,0.78, 11.6  /  14.8  /  3.9 ,46.8%,6.2%,171,0.1%,857
5,6,Phoenix,0.85, 12.2  /  14.4  /  4.1 ,46.8%,5.5%,183,0.1%,759
6,7,Omen,0.86, 12.5  /  14.6  /  4.7 ,50.9%,5.5%,183,0.1%,758
7,8,Fade,0.76, 10.8  /  14.3  /  5.7 ,48.5%,5.2%,161,0.1%,718
8,9,Killjoy,0.87, 11.3  /  13.1  /  4 ,54.5%,5.0%,173,0.2%,696
9,10,Sova,0.82, 11.4  /  13.9  /  4.9 ,45.0%,4.8%,176,0.1%,658
10,11,Neon,0.78, 11.4  /  14.5  /  3.7 ,49.0%,4.4%,175,0.1%,614
11,12,Viper,0.81, 11.4  /  14.1  /  4.6 ,50.3%,4.0%,172,0.1%,553
12,13,Brimstone,0.87, 11.9  /  13.7  /  5.7 ,51.2%,3.6%,182,0.1%,500
13,14,Skye,0.78, 10.8  /  13.8  /  6.7 ,48.3%,3.2%,164,0.1%,439
14,15,KAY/O,0.71, 10  /  14.1  /  6.9 ,45.0%,3.1%,160,0.1%,427
15,16,Gekko,0.76, 10.8  /  14.1  /  4.5 ,47.7%,2.8%,160,0.1%,390
16,17,Cypher,0.9, 12.3  /  13.6  /  4.6 ,49.6%,2.5%,174,0.2%,345
17,18,Chamber,0.87, 12.3  /  14.1  /  3.5 ,53.3%,1.7%,179,0.1%,240
18,19,Breach,0.83, 11.2  /  13.5  /  4.7 ,52.4%,1.5%,173,0.1%,210
19,20,Harbor,0.61, 10  /  16.2  /  4.9 ,42.3%,0.9%,142,0.1%,123
20,21,Astra,0.84, 11  /  13.2  /  4.3 ,36.8%,0.5%,168,0.1%,68
