,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.98, 14.7  /  15  /  7.7 ,51.5%,12.6%,203,0.1%,"16,015"
1,2,Raze,1.06, 17.2  /  16.3  /  5.1 ,50.5%,10.9%,247,0.1%,"13,831"
2,3,Jett,1.07, 17.4  /  16.2  /  3.8 ,49.0%,10.4%,240,0.1%,"13,275"
3,4,Omen,1, 15.2  /  15.2  /  7.9 ,49.5%,9.5%,208,0.1%,"12,090"
4,5,Reyna,1.13, 17.9  /  15.8  /  4.5 ,49.4%,8.5%,246,0.1%,"10,845"
5,6,Gekko,0.96, 14.7  /  15.2  /  5.2 ,48.6%,6.7%,199,0.1%,"8,460"
6,7,Killjoy,1.03, 15  /  14.6  /  4 ,49.7%,6.1%,208,0.2%,"7,702"
7,8,Cypher,1.01, 14.9  /  14.7  /  4.8 ,47.6%,5.7%,203,0.2%,"7,221"
8,9,Skye,0.96, 14.7  /  15.3  /  7.8 ,47.7%,5.1%,203,0.1%,"6,490"
9,10,Brimstone,0.99, 15  /  15  /  9.5 ,52.2%,4.3%,212,0.1%,"5,466"
10,11,Astra,1.05, 15.6  /  14.9  /  7 ,51.4%,3.6%,212,0.1%,"4,609"
11,12,KAY/O,0.93, 14.7  /  15.8  /  9.2 ,46.1%,3.0%,207,0.1%,"3,778"
12,13,Fade,0.97, 14.9  /  15.3  /  6.2 ,47.8%,2.7%,202,0.1%,"3,484"
13,14,Breach,0.96, 14.8  /  15.4  /  7.3 ,50.2%,2.6%,202,0.1%,"3,281"
14,15,Phoenix,1.1, 17.1  /  15.6  /  4.7 ,49.4%,1.9%,240,0.1%,"2,448"
15,16,Viper,1.02, 15.1  /  14.8  /  5.6 ,47.4%,1.6%,211,0.1%,"1,982"
16,17,Chamber,1.07, 16.2  /  15.2  /  3 ,47.1%,1.6%,219,0.1%,"1,980"
17,18,Sova,1, 15  /  15  /  5.6 ,46.4%,1.3%,210,0.1%,"1,710"
18,19,Yoru,1.02, 15.8  /  15.5  /  4.5 ,47.6%,0.8%,222,0.1%,"1,042"
19,20,Neon,0.96, 16.1  /  16.8  /  4.3 ,45.7%,0.7%,223,0.1%,904
20,21,Harbor,0.91, 14  /  15.4  /  6 ,40.1%,0.4%,195,0.1%,551
