,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.16, 18  /  15.5  /  4.7 ,50.6%,11.9%,254,0.1%,"33,626"
1,2,Killjoy,1.02, 14.4  /  14.1  /  4.2 ,50.0%,10.4%,205,0.2%,"29,284"
2,3,Sage,0.92, 13.5  /  14.7  /  7.2 ,49.6%,9.6%,191,0.1%,"27,071"
3,4,Jett,1.11, 17.5  /  15.8  /  4 ,49.9%,9.0%,245,0.1%,"25,317"
4,5,Omen,1, 15  /  15.1  /  7.2 ,48.9%,8.1%,210,0.1%,"22,926"
5,6,Raze,1.06, 16.4  /  15.5  /  5.2 ,50.8%,6.3%,243,0.1%,"17,698"
6,7,Sova,1.02, 14.8  /  14.5  /  5.8 ,51.2%,6.0%,210,0.1%,"16,905"
7,8,Brimstone,0.98, 14.5  /  14.7  /  8.5 ,51.9%,6.0%,209,0.1%,"16,866"
8,9,Gekko,0.95, 14.3  /  15  /  5 ,50.0%,5.0%,198,0.1%,"14,125"
9,10,Phoenix,1.12, 17  /  15.2  /  4.8 ,50.2%,3.6%,243,0.1%,"10,068"
10,11,Fade,0.95, 14.1  /  14.9  /  6.3 ,49.4%,3.3%,200,0.1%,"9,332"
11,12,KAY/O,0.91, 14  /  15.4  /  8.4 ,45.0%,3.2%,201,0.1%,"9,101"
12,13,Skye,0.94, 14.1  /  15  /  7.8 ,50.2%,3.1%,200,0.1%,"8,661"
13,14,Cypher,1.02, 14.5  /  14.2  /  5.1 ,49.5%,2.8%,202,0.2%,"7,863"
14,15,Viper,1, 14.6  /  14.6  /  5.6 ,49.0%,2.5%,205,0.1%,"7,018"
15,16,Chamber,1.08, 16.2  /  15  /  3.3 ,47.6%,2.1%,223,0.1%,"5,807"
16,17,Neon,1.01, 16.1  /  16  /  4.2 ,48.7%,1.8%,230,0.1%,"5,194"
17,18,Breach,0.93, 14.4  /  15.4  /  6.4 ,47.0%,1.7%,206,0.1%,"4,940"
18,19,Yoru,1.01, 15.6  /  15.4  /  4.3 ,45.9%,1.6%,221,0.1%,"4,448"
19,20,Astra,1.04, 15.2  /  14.6  /  6.7 ,49.4%,1.5%,210,0.1%,"4,240"
20,21,Harbor,0.9, 13.9  /  15.4  /  6 ,47.0%,0.8%,195,0.1%,"2,180"
