,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.4  /  15.9  /  3.9 ,49.0%,11.4%,241,0.1%,"20,456"
1,2,Reyna,1.15, 18.1  /  15.7  /  4.6 ,49.4%,11.0%,252,0.1%,"19,706"
2,3,Sage,0.92, 13.7  /  14.8  /  7.2 ,51.8%,8.2%,191,0.1%,"14,716"
3,4,Fade,0.96, 14.6  /  15.2  /  6.6 ,48.4%,7.0%,202,0.1%,"12,472"
4,5,Viper,1, 14.6  /  14.7  /  6.1 ,50.2%,6.5%,205,0.2%,"11,643"
5,6,Gekko,0.97, 14.5  /  15  /  5.3 ,51.4%,6.3%,197,0.1%,"11,351"
6,7,Killjoy,1.01, 14.4  /  14.2  /  4 ,50.1%,5.4%,202,0.2%,"9,612"
7,8,Cypher,1.01, 14.7  /  14.7  /  5 ,49.1%,4.7%,200,0.1%,"8,509"
8,9,Raze,1.07, 17  /  15.8  /  5 ,50.8%,4.6%,245,0.1%,"8,202"
9,10,Phoenix,1.13, 17.6  /  15.5  /  5 ,52.5%,4.1%,247,0.1%,"7,385"
10,11,Astra,1.05, 15.2  /  14.5  /  6.6 ,51.4%,3.8%,207,0.2%,"6,860"
11,12,Brimstone,0.97, 14.5  /  14.9  /  8.5 ,51.8%,3.8%,206,0.1%,"6,761"
12,13,Skye,0.95, 14.5  /  15.2  /  7.8 ,48.2%,3.7%,202,0.1%,"6,674"
13,14,KAY/O,0.93, 14.6  /  15.7  /  8.8 ,45.5%,3.3%,207,0.1%,"5,872"
14,15,Chamber,1.08, 16.2  /  14.9  /  3.1 ,48.3%,3.2%,220,0.1%,"5,815"
15,16,Harbor,0.91, 13.9  /  15.2  /  6.3 ,46.2%,3.2%,192,0.1%,"5,743"
16,17,Omen,0.96, 14.7  /  15.3  /  6.8 ,47.9%,3.1%,205,0.1%,"5,611"
17,18,Sova,1, 14.7  /  14.7  /  5.8 ,48.5%,2.3%,206,0.1%,"4,121"
18,19,Neon,0.97, 16.2  /  16.7  /  4.3 ,46.7%,1.7%,228,0.1%,"3,052"
19,20,Breach,0.94, 14.4  /  15.3  /  6.8 ,45.9%,1.4%,202,0.1%,"2,462"
20,21,Yoru,1.02, 16  /  15.7  /  4.5 ,46.6%,1.3%,224,0.1%,"2,374"
