,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.2, 18.3  /  15.2  /  4.6 ,51.1%,12.1%,257,0.1%,"33,772"
1,2,Sage,0.92, 13.6  /  14.7  /  7 ,50.0%,9.8%,192,0.1%,"27,317"
2,3,Jett,1.12, 17.6  /  15.6  /  4 ,50.1%,7.6%,247,0.1%,"21,191"
3,4,Omen,0.99, 14.9  /  15.1  /  6.1 ,48.4%,7.5%,209,0.1%,"20,816"
4,5,Raze,1.08, 16.8  /  15.5  /  5.1 ,50.6%,6.9%,246,0.1%,"19,174"
5,6,Killjoy,1, 14.2  /  14.2  /  3.9 ,50.5%,6.6%,201,0.2%,"18,323"
6,7,Gekko,0.97, 14.4  /  14.8  /  5 ,51.4%,5.2%,200,0.1%,"14,542"
7,8,Skye,0.94, 14.1  /  15  /  7.7 ,49.5%,4.8%,200,0.1%,"13,325"
8,9,Brimstone,0.98, 14.6  /  14.8  /  7.5 ,50.7%,4.8%,209,0.1%,"13,296"
9,10,Breach,0.95, 14.5  /  15.3  /  6.4 ,50.1%,3.8%,205,0.1%,"10,689"
10,11,Fade,0.94, 14  /  14.9  /  6.2 ,49.4%,3.7%,198,0.1%,"10,378"
11,12,Phoenix,1.14, 17.2  /  15.1  /  4.6 ,50.8%,3.7%,243,0.1%,"10,312"
12,13,KAY/O,0.91, 14.1  /  15.4  /  8.7 ,45.5%,3.3%,204,0.1%,"9,111"
13,14,Chamber,1.11, 16.3  /  14.7  /  3.2 ,50.1%,3.2%,224,0.1%,"8,857"
14,15,Cypher,1.01, 14.5  /  14.4  /  4.9 ,50.0%,3.2%,200,0.2%,"8,824"
15,16,Sova,0.98, 14.5  /  14.8  /  5.3 ,48.6%,2.7%,207,0.1%,"7,655"
16,17,Viper,0.98, 14.6  /  14.8  /  5.5 ,49.4%,2.7%,206,0.1%,"7,594"
17,18,Neon,1.01, 16.3  /  16.2  /  4.4 ,46.8%,2.6%,232,0.1%,"7,243"
18,19,Harbor,0.92, 13.9  /  15.2  /  5.8 ,48.0%,2.1%,196,0.1%,"5,950"
19,20,Yoru,1.01, 15.7  /  15.5  /  4.4 ,46.4%,2.0%,221,0.1%,"5,457"
20,21,Astra,1.05, 15.1  /  14.4  /  5.6 ,51.8%,1.6%,210,0.1%,"4,582"
