,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.9, 13.2  /  14.6  /  6.9 ,50.1%,12.4%,188,0.1%,"28,518",Sentinel
1,2,Reyna,1.13, 17.3  /  15.2  /  4.6 ,50.3%,11.8%,247,0.1%,"27,064",Duelist
2,3,Omen,0.98, 14.5  /  14.9  /  6 ,48.9%,8.5%,206,0.1%,"19,597",Controller
3,4,Jett,1.08, 16.5  /  15.3  /  4 ,49.6%,7.0%,236,0.1%,"16,055",Duelist
4,5,Killjoy,0.97, 13.5  /  14  /  4.1 ,50.4%,6.8%,197,0.2%,"15,638",Sentinel
5,6,Raze,1.03, 15.8  /  15.4  /  4.9 ,49.8%,6.1%,233,0.1%,"13,933",Duelist
6,7,Brimstone,0.96, 14  /  14.5  /  7.3 ,52.1%,5.4%,204,0.1%,"12,381",Controller
7,8,Sova,0.96, 14  /  14.5  /  5.3 ,48.8%,4.6%,201,0.1%,"10,587",Initiator
8,9,Gekko,0.94, 13.8  /  14.7  /  4.9 ,50.2%,4.5%,196,0.1%,"10,297",Initiator
9,10,Fade,0.92, 13.8  /  15  /  6.3 ,49.6%,3.9%,196,0.1%,"9,041",Initiator
10,11,Skye,0.92, 13.8  /  15  /  7.4 ,47.9%,3.9%,198,0.1%,"9,009",Initiator
11,12,Phoenix,1.08, 16.3  /  15.1  /  4.6 ,49.9%,3.8%,235,0.1%,"8,636",Duelist
12,13,Cypher,0.98, 14.1  /  14.4  /  5 ,48.3%,3.2%,199,0.1%,"7,383",Sentinel
13,14,KAY/O,0.89, 13.6  /  15.2  /  8.2 ,46.6%,3.2%,199,0.1%,"7,289",Initiator
14,15,Neon,0.98, 15.5  /  15.8  /  4.3 ,48.8%,2.8%,224,0.1%,"6,502",Duelist
15,16,Viper,0.95, 13.8  /  14.5  /  5.3 ,47.7%,2.8%,200,0.1%,"6,373",Controller
16,17,Yoru,0.97, 14.9  /  15.3  /  4.2 ,46.0%,2.6%,213,0.1%,"5,926",Duelist
17,18,Chamber,1.04, 15.1  /  14.6  /  3.3 ,49.1%,2.4%,211,0.1%,"5,504",Sentinel
18,19,Breach,0.93, 14.1  /  15.2  /  5.9 ,49.6%,2.3%,202,0.1%,"5,318",Initiator
19,20,Astra,1.02, 14.4  /  14.2  /  5.6 ,49.2%,1.2%,204,0.1%,"2,780",Controller
20,21,Harbor,0.88, 13.6  /  15.4  /  5.8 ,44.2%,1.1%,192,0.1%,"2,441",Controller
