,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.92, 13.6  /  14.9  /  7.1 ,50.4%,12.1%,190,0.1%,"23,922",Sentinel
1,2,Jett,1.1, 17.8  /  16.2  /  3.9 ,49.7%,12.0%,248,0.1%,"23,757",Duelist
2,3,Viper,1.01, 15  /  14.8  /  5.7 ,50.0%,11.3%,207,0.2%,"22,349",Controller
3,4,Reyna,1.16, 18.3  /  15.8  /  4.3 ,51.3%,11.2%,253,0.1%,"22,123",Duelist
4,5,Sova,1.0, 14.7  /  14.8  /  5.5 ,49.5%,8.5%,205,0.1%,"16,774",Initiator
5,6,Killjoy,1.01, 14.5  /  14.4  /  3.8 ,50.9%,6.3%,202,0.2%,"12,417",Sentinel
6,7,Gekko,0.96, 14.5  /  15.1  /  4.8 ,50.9%,5.9%,196,0.1%,"11,659",Initiator
7,8,Raze,1.04, 16.8  /  16.1  /  4.6 ,50.0%,5.9%,240,0.1%,"11,636",Duelist
8,9,Omen,0.99, 15.3  /  15.5  /  6 ,49.2%,4.5%,212,0.1%,"8,796",Controller
9,10,KAY/O,0.95, 14.7  /  15.6  /  8.9 ,47.8%,3.4%,210,0.1%,"6,610",Initiator
10,11,Chamber,1.08, 16.3  /  15.1  /  3 ,47.9%,2.8%,221,0.1%,"5,617",Sentinel
11,12,Fade,0.96, 14.6  /  15.2  /  6.2 ,48.6%,2.6%,203,0.1%,"5,104",Initiator
12,13,Skye,0.92, 14.2  /  15.4  /  7.3 ,46.1%,2.3%,199,0.1%,"4,613",Initiator
13,14,Brimstone,0.94, 14.2  /  15.1  /  7.2 ,49.4%,2.3%,202,0.1%,"4,468",Controller
14,15,Phoenix,1.11, 17.3  /  15.6  /  4.4 ,52.0%,2.1%,240,0.1%,"4,066",Duelist
15,16,Harbor,0.91, 14  /  15.4  /  6.1 ,47.6%,1.5%,192,0.1%,"2,922",Controller
16,17,Cypher,0.95, 14.2  /  14.9  /  4.6 ,44.4%,1.4%,196,0.1%,"2,724",Sentinel
17,18,Neon,1.0, 16.5  /  16.5  /  4.3 ,48.6%,1.3%,231,0.1%,"2,617",Duelist
18,19,Yoru,1.02, 16.3  /  15.9  /  4.2 ,47.7%,1.1%,226,0.1%,"2,235",Duelist
19,20,Breach,0.92, 14.5  /  15.9  /  6.1 ,45.0%,0.9%,201,0.1%,"1,788",Initiator
20,21,Astra,1.04, 15.4  /  14.8  /  5.3 ,50.1%,0.5%,207,0.2%,958,Controller
